"DATE","VALUE"
1981-01-02,20.6611
1981-01-05,20.6611
1981-01-06,20.6611
1981-01-07,20.6611
1981-01-08,20.6611
1981-01-09,20.6611
1981-01-12,20.6611
1981-01-13,20.6611
1981-01-14,20.6611
1981-01-15,20.6611
1981-01-16,20.6611
1981-01-19,20.6611
1981-01-20,20.6611
1981-01-21,20.6611
1981-01-22,20.6611
1981-01-23,20.6611
1981-01-26,20.6611
1981-01-27,20.6611
1981-01-28,20.6611
1981-01-29,20.6611
1981-01-30,20.6611
1981-02-02,20.6611
1981-02-03,20.6611
1981-02-04,20.6611
1981-02-05,20.6611
1981-02-06,20.6611
1981-02-09,20.6611
1981-02-10,20.6611
1981-02-11,20.6611
1981-02-12,NA
1981-02-13,20.6611
1981-02-16,NA
1981-02-17,20.6611
1981-02-18,20.6611
1981-02-19,20.6611
1981-02-20,20.6611
1981-02-23,20.6611
1981-02-24,20.6611
1981-02-25,20.6611
1981-02-26,20.6611
1981-02-27,20.6185
1981-03-02,20.6185
1981-03-03,20.6185
1981-03-04,20.4918
1981-03-05,20.4918
1981-03-06,20.4918
1981-03-09,20.4918
1981-03-10,20.4918
1981-03-11,20.4918
1981-03-12,20.4918
1981-03-13,20.5
1981-03-16,20.5
1981-03-17,20.5
1981-03-18,20.5
1981-03-19,20.5
1981-03-20,20.5
1981-03-23,20.5
1981-03-24,20.65
1981-03-25,20.65
1981-03-26,20.65
1981-03-27,20.65
1981-03-30,20.65
1981-03-31,20.65
1981-04-01,20.65
1981-04-02,20.65
1981-04-03,20.67
1981-04-06,20.67
1981-04-07,20.67
1981-04-08,20.67
1981-04-09,20.67
1981-04-10,20.75
1981-04-13,20.75
1981-04-14,20.75
1981-04-15,20.75
1981-04-16,20.75
1981-04-17,20.75
1981-04-20,20.75
1981-04-21,20.75
1981-04-22,20.75
1981-04-23,20.75
1981-04-24,20.75
1981-04-27,20.75
1981-04-28,20.75
1981-04-29,20.75
1981-04-30,20.75
1981-05-01,20.75
1981-05-04,20.75
1981-05-05,20.75
1981-05-06,20.75
1981-05-07,20.75
1981-05-08,20.75
1981-05-11,20.75
1981-05-12,20.75
1981-05-13,20.75
1981-05-14,20.75
1981-05-15,21
1981-05-18,21
1981-05-19,21
1981-05-20,21
1981-05-21,21
1981-05-22,21
1981-05-25,NA
1981-05-26,21
1981-05-27,21
1981-05-28,21
1981-05-29,21
1981-06-01,21
1981-06-02,21
1981-06-03,21
1981-06-04,21
1981-06-05,21
1981-06-08,21
1981-06-09,21
1981-06-10,21
1981-06-11,21
1981-06-12,21
1981-06-15,21
1981-06-16,21
1981-06-17,21
1981-06-18,21
1981-06-19,21
1981-06-22,21
1981-06-23,21
1981-06-24,21
1981-06-25,21
1981-06-26,20.9
1981-06-29,20.9
1981-06-30,20.9
1981-07-01,20.9
1981-07-02,20.95
1981-07-03,20.36
1981-07-06,20.36
1981-07-07,20.82
1981-07-08,20.82
1981-07-09,20.82
1981-07-10,20.82
1981-07-13,20.82
1981-07-14,23.05
1981-07-15,23.05
1981-07-16,23.05
1981-07-17,23.05
1981-07-20,23.05
1981-07-21,23.05
1981-07-22,23.05
1981-07-23,23.05
1981-07-24,23.05
1981-07-27,23.05
1981-07-28,23.05
1981-07-29,23.05
1981-07-30,23.05
1981-07-31,23.05
1981-08-03,23.05
1981-08-04,23.05
1981-08-05,23.05
1981-08-06,23.05
1981-08-07,23.05
1981-08-10,23.05
1981-08-11,23.05
1981-08-12,23.05
1981-08-13,23.05
1981-08-14,23.05
1981-08-17,23.05
1981-08-18,23.05
1981-08-19,23.05
1981-08-20,23.05
1981-08-21,23.05
1981-08-24,23.05
1981-08-25,23.05
1981-08-26,23.05
1981-08-27,23.05
1981-08-28,23.05
1981-08-31,23.05
1981-09-01,23.05
1981-09-02,23.05
1981-09-03,23.05
1981-09-04,23.05
1981-09-07,NA
1981-09-08,23.05
1981-09-09,23.05
1981-09-10,23.05
1981-09-11,23.05
1981-09-14,23.05
1981-09-15,23.05
1981-09-16,23.05
1981-09-17,23.05
1981-09-18,23.05
1981-09-21,23.05
1981-09-22,23.05
1981-09-23,23.05
1981-09-24,23.05
1981-09-25,23.05
1981-09-28,23.05
1981-09-29,23.05
1981-09-30,23.05
1981-10-01,23.05
1981-10-02,23.05
1981-10-05,23.05
1981-10-06,23.05
1981-10-07,23.05
1981-10-08,23.05
1981-10-09,23.05
1981-10-12,NA
1981-10-13,23.05
1981-10-14,23.05
1981-10-15,23.05
1981-10-16,23.05
1981-10-19,23.05
1981-10-20,23.05
1981-10-21,23.05
1981-10-22,23.05
1981-10-23,23.05
1981-10-26,23.05
1981-10-27,23.05
1981-10-28,23.05
1981-10-29,23.05
1981-10-30,23.05
1981-11-02,23.05
1981-11-03,NA
1981-11-04,23.05
1981-11-05,23.05
1981-11-06,23.05
1981-11-09,23.05
1981-11-10,23.05
1981-11-11,NA
1981-11-12,23.05
1981-11-13,23.05
1981-11-16,23.05
1981-11-17,23.05
1981-11-18,23.05
1981-11-19,23.05
1981-11-20,23.05
1981-11-23,23.05
1981-11-24,23.05
1981-11-25,23.05
1981-11-26,NA
1981-11-27,23.05
1981-11-30,23.05
1981-12-01,23.05
1981-12-02,23.05
1981-12-03,23.05
1981-12-04,23.05
1981-12-07,23.05
1981-12-08,23.05
1981-12-09,23.05
1981-12-10,23.05
1981-12-11,23.05
1981-12-14,23.05
1981-12-15,23.05
1981-12-16,23.05
1981-12-17,23.05
1981-12-18,23.05
1981-12-21,23.05
1981-12-22,23.05
1981-12-23,23.05
1981-12-24,23.05
1981-12-25,NA
1981-12-28,23.05
1981-12-29,23.05
1981-12-30,23.05
1981-12-31,23.05
1982-01-01,NA
1982-01-04,23.05
1982-01-05,23.05
1982-01-06,23.05
1982-01-07,23.05
1982-01-08,23.05
1982-01-11,23.05
1982-01-12,23.05
1982-01-13,23.05
1982-01-14,23.05
1982-01-15,23.05
1982-01-18,23.05
1982-01-19,23.05
1982-01-20,23.05
1982-01-21,23.05
1982-01-22,23.05
1982-01-25,23.05
1982-01-26,23.05
1982-01-27,23.05
1982-01-28,23.05
1982-01-29,23.05
1982-02-01,23.05
1982-02-02,23.05
1982-02-03,23.05
1982-02-04,23.05
1982-02-05,23.05
1982-02-08,23.05
1982-02-09,23.05
1982-02-10,23.05
1982-02-11,23.05
1982-02-12,NA
1982-02-15,NA
1982-02-16,23.05
1982-02-17,23.05
1982-02-18,23.05
1982-02-19,23.05
1982-02-22,23.05
1982-02-23,23.05
1982-02-24,23.05
1982-02-25,23.05
1982-02-26,23.05
1982-03-01,23.05
1982-03-02,23.05
1982-03-03,23.05
1982-03-04,23.05
1982-03-05,23.05
1982-03-08,23.05
1982-03-09,23.05
1982-03-10,23.05
1982-03-11,23.05
1982-03-12,23.05
1982-03-15,23.05
1982-03-16,23.05
1982-03-17,23.05
1982-03-18,23.05
1982-03-19,23.05
1982-03-22,23.05
1982-03-23,23.05
1982-03-24,23.05
1982-03-25,23.05
1982-03-26,23.05
1982-03-29,23.05
1982-03-30,23.05
1982-03-31,23.05
1982-04-01,23.05
1982-04-02,23.05
1982-04-05,23.05
1982-04-06,23.05
1982-04-07,23.05
1982-04-08,23.05
1982-04-09,23.05
1982-04-12,23.05
1982-04-13,23.05
1982-04-14,23.05
1982-04-15,23.05
1982-04-16,23
1982-04-19,23
1982-04-20,23
1982-04-21,23
1982-04-22,23
1982-04-23,23
1982-04-26,23
1982-04-27,23
1982-04-28,23
1982-04-29,23
1982-04-30,23
1982-05-03,23
1982-05-04,23
1982-05-05,23
